[2025-07-23 17:29:11] (Elapsed: 3.70s) Detected: car with confidence 0.32
[2025-07-23 17:29:11] (Elapsed: 3.70s) Detected: car with confidence 0.31
[2025-07-23 17:29:11] (Elapsed: 3.70s) Detected: car with confidence 0.31
[2025-07-23 17:29:11] (Elapsed: 3.70s) Processing frame 6
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.88
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.87
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.82
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.76
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.68
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.63
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.56
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.56
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.55
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.50
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.47
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.43
[2025-07-23 17:29:11] (Elapsed: 3.84s) Detected: car with confidence 0.28
[2025-07-23 17:29:11] (Elapsed: 3.84s) Processing frame 7
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.86
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.86
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.82
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.77
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.69
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.66
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.65
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.53
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.51
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.49
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.38
[2025-07-23 17:29:12] (Elapsed: 4.02s) Detected: car with confidence 0.37
[2025-07-23 17:29:12] (Elapsed: 4.02s) Processing frame 8
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.89
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.85
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.83
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.80
[2025-07-23 17:29:12] (Elapsed: 4.19s) Detected: car with confidence 0.77
